Plate	Repeat	End time	Start temp.	End temp.	BarCode																		 
1	1	8:29:42 PM	24.8	24.9	18051KS001																		 
																							 
Alamar Blue (Counts)																							 
160																							 
																							 
1780	1758	42114	41949	42254	42446	42704	43834	43577	44088	42369	43346	43120	42558	43528	41673	42050	40684	42983	42944	42087	42360	1710	1800
1706	1863	39869	39762	39660	40074	39824	40584	41842	41985	41967	42063	42250	40928	42394	40988	40672	41393	42046	41027	40624	39267	1824	1751
1786	2002	38332	37536	38638	39237	41390	40754	40516	42270	40881	40693	39740	39756	40827	40951	40458	39994	39109	39279	39661	40286	1821	1872
1826	1902	35317	38427	39073	38958	40829	38010	39745	41800	40271	40636	37395	41134	42524	41463	40680	36790	40178	39907	38964	35439	1881	1830
1835	1906	35148	34658	36255	36577	37035	38039	37044	34740	37908	36561	37084	37780	38052	37792	36272	37128	36867	35840	36257	35847	1923	1829
1872	1900	35359	35743	34377	36675	37419	37632	37095	38561	36125	37242	36860	37000	36886	37328	37906	36950	36718	36484	35838	36093	1798	1866
1806	1935	36225	35146	35109	36030	36359	37432	39274	37912	38567	37261	36465	38371	37829	37196	37228	37641	35552	37112	34341	34636	1813	1810
1835	1901	36072	35497	36427	36977	38025	36444	37655	36745	36811	35926	36757	37010	37340	38699	36958	37368	36610	36553	36282	35673	1985	1768
1792	1811	35406	36622	36887	36822	38748	36965	38301	37540	37680	36604	36967	37439	38232	38018	38152	36371	35967	36450	34870	35962	1892	1768
1880	1861	36054	35736	36327	28935	37535	37507	37294	37576	36220	35451	37246	37472	37167	38130	35778	37765	36598	36172	36119	35740	1735	1755
1844	1804	35738	35590	36327	35654	38272	37469	37717	37996	37610	36282	38032	36441	38141	36902	37680	37956	34812	36509	36011	36514	1786	1807
1761	1905	35928	36478	34668	36668	36549	39067	38267	37531	37734	36634	37792	36553	37528	37341	36088	37656	37025	36728	36131	36218	1767	1818
1766	1780	35173	39643	39977	40629	40333	36478	40913	41160	42276	40633	36039	40646	40509	41876	41493	37154	39635	40625	40373	36681	1806	1646
1766	1845	38331	40619	39502	40297	41281	41247	42198	41951	40774	40008	41563	41096	41110	40888	40115	40492	41018	40470	40007	39133	1712	1730
