barcode,CIL56,MS,modulator,cell,mother,available
18051KS048,1.25,4,ATOC,HT1080,MS384013
18051KS049,2.5,0.5,ATOC,HT1080,MS384013
18051KS050,2.5,0.5,ATOC,HT1080,MS384013
18051KS051,2.5,1,ATOC,HT1080,MS384013
18051KS052,2.5,1,ATOC,HT1080,MS384013
18051KS053,2.5,2,ATOC,HT1080,MS384013
18051KS054,2.5,2,ATOC,HT1080,MS384013
18051KS055,2.5,4,ATOC,HT1080,MS384013
18051KS056,2.5,4,ATOC,HT1080,MS384013
18051KS057,0,4,DMSO,media,MS384013
21051KS001,0,0.5,DMSO,HT1080,MS384002
21051KS002,0,0.5,DMSO,HT1080,MS384002
21051KS003,0,1,DMSO,HT1080,MS384002
21051KS004,0,1,DMSO,HT1080,MS384002
21051KS005,0,2,DMSO,HT1080,MS384002
21051KS006,0,2,DMSO,HT1080,MS384002
21051KS007,0,4,DMSO,HT1080,MS384002
21051KS008,0,4,DMSO,HT1080,MS384002
21051KS009,0.31,0.5,DMSO,HT1080,MS384002
21051KS010,0.31,0.5,DMSO,HT1080,MS384002
21051KS011,0.31,1,DMSO,HT1080,MS384002
21051KS012,0.31,1,DMSO,HT1080,MS384002
21051KS013,0.31,2,DMSO,HT1080,MS384002
21051KS014,0.31,2,DMSO,HT1080,MS384002
21051KS015,0.31,4,DMSO,HT1080,MS384002
21051KS016,0.31,4,DMSO,HT1080,MS384002
21051KS017,0.63,0.5,DMSO,HT1080,MS384002
21051KS018,0.63,0.5,DMSO,HT1080,MS384002
21051KS019,0.63,1,DMSO,HT1080,MS384002
21051KS020,0.63,1,DMSO,HT1080,MS384002
21051KS021,0.63,2,DMSO,HT1080,MS384002
21051KS022,0.63,2,DMSO,HT1080,MS384002
21051KS023,0.63,4,DMSO,HT1080,MS384002
21051KS024,0.63,4,DMSO,HT1080,MS384002
21051KS025,1.25,0.5,DMSO,HT1080,MS384002
21051KS026,1.25,0.5,DMSO,HT1080,MS384002
21051KS027,1.25,1,DMSO,HT1080,MS384002
21051KS028,1.25,1,DMSO,HT1080,MS384002
21051KS029,1.25,2,DMSO,HT1080,MS384002
21051KS030,1.25,2,DMSO,HT1080,MS384002
21051KS031,1.25,4,DMSO,HT1080,MS384002
21051KS032,1.25,4,DMSO,HT1080,MS384002
21051KS033,0,0.5,ATOC,HT1080,MS384002
21051KS034,0,0.5,ATOC,HT1080,MS384002
21051KS035,0,1,ATOC,HT1080,MS384002
21051KS036,0,1,ATOC,HT1080,MS384002
21051KS037,0,2,ATOC,HT1080,MS384002
21051KS038,0,2,ATOC,HT1080,MS384002
21051KS039,0,4,ATOC,HT1080,MS384002
21051KS040,0,4,ATOC,HT1080,MS384002
21051KS041,1.25,0.5,ATOC,HT1080,MS384002
21051KS042,1.25,0.5,ATOC,HT1080,MS384002
21051KS043,1.25,1,ATOC,HT1080,MS384002
21051KS044,1.25,1,ATOC,HT1080,MS384002
21051KS045,1.25,2,ATOC,HT1080,MS384002
21051KS046,1.25,2,ATOC,HT1080,MS384002
21051KS047,1.25,4,ATOC,HT1080,MS384002
21051KS048,1.25,4,ATOC,HT1080,MS384002
21051KS049,2.5,0.5,ATOC,HT1080,MS384002
21051KS050,2.5,0.5,ATOC,HT1080,MS384002
21051KS051,2.5,1,ATOC,HT1080,MS384002
21051KS052,2.5,1,ATOC,HT1080,MS384002
21051KS053,2.5,2,ATOC,HT1080,MS384002
21051KS054,2.5,2,ATOC,HT1080,MS384002
21051KS055,2.5,4,ATOC,HT1080,MS384002
21051KS056,2.5,4,ATOC,HT1080,MS384002
21051KS057,0,4,DMSO,media,MS384002
26051KS001,0,0.5,DMSO,HT1080,MS384003
26051KS002,0,0.5,DMSO,HT1080,MS384003
26051KS003,0,1,DMSO,HT1080,MS384003
26051KS004,0,1,DMSO,HT1080,MS384003
26051KS005,0,2,DMSO,HT1080,MS384003
26051KS006,0,2,DMSO,HT1080,MS384003
26051KS007,0,4,DMSO,HT1080,MS384003
26051KS008,0,4,DMSO,HT1080,MS384003
26051KS009,0.31,0.5,DMSO,HT1080,MS384003
26051KS010,0.31,0.5,DMSO,HT1080,MS384003
26051KS011,0.31,1,DMSO,HT1080,MS384003
26051KS012,0.31,1,DMSO,HT1080,MS384003
26051KS013,0.31,2,DMSO,HT1080,MS384003
26051KS014,0.31,2,DMSO,HT1080,MS384003
26051KS015,0.31,4,DMSO,HT1080,MS384003
26051KS016,0.31,4,DMSO,HT1080,MS384003
26051KS017,0.63,0.5,DMSO,HT1080,MS384003
26051KS018,0.63,0.5,DMSO,HT1080,MS384003
26051KS019,0.63,1,DMSO,HT1080,MS384003
26051KS020,0.63,1,DMSO,HT1080,MS384003
26051KS021,0.63,2,DMSO,HT1080,MS384003
26051KS022,0.63,2,DMSO,HT1080,MS384003
26051KS023,0.63,4,DMSO,HT1080,MS384003
26051KS024,0.63,4,DMSO,HT1080,MS384003
26051KS025,1.25,0.5,DMSO,HT1080,MS384003
26051KS026,1.25,0.5,DMSO,HT1080,MS384003
26051KS027,1.25,1,DMSO,HT1080,MS384003
26051KS028,1.25,1,DMSO,HT1080,MS384003
26051KS029,1.25,2,DMSO,HT1080,MS384003
26051KS030,1.25,2,DMSO,HT1080,MS384003
26051KS031,1.25,4,DMSO,HT1080,MS384003
26051KS032,1.25,4,DMSO,HT1080,MS384003
26051KS033,0,0.5,ATOC,HT1080,MS384003
26051KS034,0,0.5,ATOC,HT1080,MS384003
26051KS035,0,1,ATOC,HT1080,MS384003
26051KS036,0,1,ATOC,HT1080,MS384003
26051KS037,0,2,ATOC,HT1080,MS384003
26051KS038,0,2,ATOC,HT1080,MS384003
26051KS039,0,4,ATOC,HT1080,MS384003
26051KS040,0,4,ATOC,HT1080,MS384003
26051KS041,1.25,0.5,ATOC,HT1080,MS384003
26051KS042,1.25,0.5,ATOC,HT1080,MS384003
26051KS043,1.25,1,ATOC,HT1080,MS384003
26051KS044,1.25,1,ATOC,HT1080,MS384003
26051KS045,1.25,2,ATOC,HT1080,MS384003
26051KS046,1.25,2,ATOC,HT1080,MS384003
26051KS047,1.25,4,ATOC,HT1080,MS384003
26051KS048,1.25,4,ATOC,HT1080,MS384003
26051KS049,2.5,0.5,ATOC,HT1080,MS384003
26051KS050,2.5,0.5,ATOC,HT1080,MS384003
26051KS051,2.5,1,ATOC,HT1080,MS384003
26051KS052,2.5,1,ATOC,HT1080,MS384003
26051KS053,2.5,2,ATOC,HT1080,MS384003
26051KS054,2.5,2,ATOC,HT1080,MS384003
26051KS055,2.5,4,ATOC,HT1080,MS384003
26051KS056,2.5,4,ATOC,HT1080,MS384003
26051KS057,0,4,DMSO,media,MS384003
28051KS001,0,0.5,DMSO,HT1080,MS384004
28051KS002,0,0.5,DMSO,HT1080,MS384004
28051KS003,0,1,DMSO,HT1080,MS384004
28051KS004,0,1,DMSO,HT1080,MS384004
28051KS005,0,2,DMSO,HT1080,MS384004
28051KS006,0,2,DMSO,HT1080,MS384004
28051KS008,0,4,DMSO,HT1080,MS384004
28051KS007,0,4,DMSO,HT1080,MS384004
28051KS009,0.31,0.5,DMSO,HT1080,MS384004
28051KS010,0.31,0.5,DMSO,HT1080,MS384004
28051KS011,0.31,1,DMSO,HT1080,MS384004
28051KS012,0.31,1,DMSO,HT1080,MS384004
28051KS013,0.31,2,DMSO,HT1080,MS384004
28051KS014,0.31,2,DMSO,HT1080,MS384004
28051KS015,0.31,4,DMSO,HT1080,MS384004
28051KS016,0.31,4,DMSO,HT1080,MS384004
28051KS017,0.63,0.5,DMSO,HT1080,MS384004
28051KS018,0.63,0.5,DMSO,HT1080,MS384004
28051KS019,0.63,1,DMSO,HT1080,MS384004
28051KS020,0.63,1,DMSO,HT1080,MS384004
28051KS021,0.63,2,DMSO,HT1080,MS384004
28051KS022,0.63,2,DMSO,HT1080,MS384004
28051KS023,0.63,4,DMSO,HT1080,MS384004
28051KS024,0.63,4,DMSO,HT1080,MS384004
28051KS025,1.25,0.5,DMSO,HT1080,MS384004
28051KS026,1.25,0.5,DMSO,HT1080,MS384004
28051KS027,1.25,1,DMSO,HT1080,MS384004
28051KS028,1.25,1,DMSO,HT1080,MS384004,
28051KS029,1.25,2,DMSO,HT1080,MS384004,
28051KS030,1.25,2,DMSO,HT1080,MS384004,
28051KS031,1.25,4,DMSO,HT1080,MS384004,
28051KS032,1.25,4,DMSO,HT1080,MS384004,
28051KS033,0,0.5,ATOC,HT1080,MS384004,
28051KS034,0,0.5,ATOC,HT1080,MS384004,
28051KS035,0,1,ATOC,HT1080,MS384004,
28051KS036,0,1,ATOC,HT1080,MS384004,
28051KS037,0,2,ATOC,HT1080,MS384004,
28051KS038,0,2,ATOC,HT1080,MS384004,
28051KS039,0,4,ATOC,HT1080,MS384004,
28051KS040,0,4,ATOC,HT1080,MS384004,
28051KS041,1.25,0.5,ATOC,HT1080,MS384004,b
28051KS042,1.25,0.5,ATOC,HT1080,MS384004,
28051KS043,1.25,1,ATOC,HT1080,MS384004,
28051KS044,1.25,1,ATOC,HT1080,MS384004,b
28051KS045,1.25,2,ATOC,HT1080,MS384004,
28051KS046,1.25,2,ATOC,HT1080,MS384004,
28051KS047,1.25,4,ATOC,HT1080,MS384004,
28051KS048,1.25,4,ATOC,HT1080,MS384004,
28051KS049,2.5,0.5,ATOC,HT1080,MS384004,
28051KS050,2.5,0.5,ATOC,HT1080,MS384004,
28051KS051,2.5,1,ATOC,HT1080,MS384004,
28051KS052,2.5,1,ATOC,HT1080,MS384004,
28051KS053,2.5,2,ATOC,HT1080,MS384004,
28051KS054,2.5,2,ATOC,HT1080,MS384004,
28051KS055,2.5,4,ATOC,HT1080,MS384004,
28051KS056,2.5,4,ATOC,HT1080,MS384004,
28051KS057,0,4,DMSO,media,MS384004,
30051KS001,0,0.5,DMSO,HT1080,MS384005,
30051KS002,0,0.5,DMSO,HT1080,MS384005,
30051KS003,0,1,DMSO,HT1080,MS384005
30051KS004,0,1,DMSO,HT1080,MS384005
30051KS005,0,2,DMSO,HT1080,MS384005
30051KS006,0,2,DMSO,HT1080,MS384005
30051KS007,0,4,DMSO,HT1080,MS384005
30051KS008,0,4,DMSO,HT1080,MS384005
30051KS009,0.31,0.5,DMSO,HT1080,MS384005
30051KS010,0.31,0.5,DMSO,HT1080,MS384005
30051KS011,0.31,1,DMSO,HT1080,MS384005
30051KS012,0.31,1,DMSO,HT1080,MS384005
30051KS013,0.31,2,DMSO,HT1080,MS384005
30051KS014,0.31,2,DMSO,HT1080,MS384005
30051KS015,0.31,4,DMSO,HT1080,MS384005
30051KS016,0.31,4,DMSO,HT1080,MS384005
30051KS017,0.63,0.5,DMSO,HT1080,MS384005
30051KS018,0.63,0.5,DMSO,HT1080,MS384005
30051KS019,0.63,1,DMSO,HT1080,MS384005
30051KS020,0.63,1,DMSO,HT1080,MS384005
30051KS021,0.63,2,DMSO,HT1080,MS384005
30051KS022,0.63,2,DMSO,HT1080,MS384005
30051KS023,0.63,4,DMSO,HT1080,MS384005
30051KS024,0.63,4,DMSO,HT1080,MS384005
30051KS025,1.25,0.5,DMSO,HT1080,MS384005
30051KS026,1.25,0.5,DMSO,HT1080,MS384005
30051KS027,1.25,1,DMSO,HT1080,MS384005
30051KS028,1.25,1,DMSO,HT1080,MS384005
30051KS029,1.25,2,DMSO,HT1080,MS384005
30051KS030,1.25,2,DMSO,HT1080,MS384005
30051KS031,1.25,4,DMSO,HT1080,MS384005
30051KS032,1.25,4,DMSO,HT1080,MS384005
30051KS033,0,0.5,ATOC,HT1080,MS384005
30051KS034,0,0.5,ATOC,HT1080,MS384005
30051KS035,0,1,ATOC,HT1080,MS384005,
30051KS036,0,1,ATOC,HT1080,MS384005,
30051KS037,0,2,ATOC,HT1080,MS384005,
30051KS038,0,2,ATOC,HT1080,MS384005,
30051KS039,0,4,ATOC,HT1080,MS384005,
30051KS040,0,4,ATOC,HT1080,MS384005,x
30051KS041,1.25,0.5,ATOC,HT1080,MS384005,x
30051KS042,1.25,0.5,ATOC,HT1080,MS384005,
30051KS043,1.25,1,ATOC,HT1080,MS384005,
30051KS044,1.25,1,ATOC,HT1080,MS384005,
30051KS045,1.25,2,ATOC,HT1080,MS384005,
30051KS046,1.25,2,ATOC,HT1080,MS384005,
30051KS047,1.25,4,ATOC,HT1080,MS384005,
30051KS048,1.25,4,ATOC,HT1080,MS384005,
30051KS049,2.5,0.5,ATOC,HT1080,MS384005,
30051KS050,2.5,0.5,ATOC,HT1080,MS384005,
30051KS051,2.5,1,ATOC,HT1080,MS384005
30051KS052,2.5,1,ATOC,HT1080,MS384005
30051KS053,2.5,2,ATOC,HT1080,MS384005
30051KS054,2.5,2,ATOC,HT1080,MS384005
30051KS055,2.5,4,ATOC,HT1080,MS384005
30051KS056,2.5,4,ATOC,HT1080,MS384005
30051KS057,0,4,DMSO,media,MS384005
31051KS001,0,0.5,DMSO,HT1080,MS384006
31051KS002,0,0.5,DMSO,HT1080,MS384006
31051KS003,0,1,DMSO,HT1080,MS384006
31051KS004,0,1,DMSO,HT1080,MS384006
31051KS005,0,2,DMSO,HT1080,MS384006
31051KS006,0,2,DMSO,HT1080,MS384006
31051KS007,0,4,DMSO,HT1080,MS384006
31051KS008,0,4,DMSO,HT1080,MS384006
31051KS009,0.31,0.5,DMSO,HT1080,MS384006
31051KS010,0.31,0.5,DMSO,HT1080,MS384006
31051KS011,0.31,1,DMSO,HT1080,MS384006
31051KS012,0.31,1,DMSO,HT1080,MS384006
31051KS013,0.31,2,DMSO,HT1080,MS384006
31051KS014,0.31,2,DMSO,HT1080,MS384006
31051KS015,0.31,4,DMSO,HT1080,MS384006
31051KS016,0.31,4,DMSO,HT1080,MS384006
31051KS017,0.63,0.5,DMSO,HT1080,MS384006
31051KS018,0.63,0.5,DMSO,HT1080,MS384006
31051KS019,0.63,1,DMSO,HT1080,MS384006
31051KS020,0.63,1,DMSO,HT1080,MS384006
31051KS021,0.63,2,DMSO,HT1080,MS384006
31051KS022,0.63,2,DMSO,HT1080,MS384006
31051KS023,0.63,4,DMSO,HT1080,MS384006
31051KS024,0.63,4,DMSO,HT1080,MS384006
31051KS025,1.25,0.5,DMSO,HT1080,MS384006
31051KS026,1.25,0.5,DMSO,HT1080,MS384006
31051KS027,1.25,1,DMSO,HT1080,MS384006
31051KS028,1.25,1,DMSO,HT1080,MS384006
31051KS029,1.25,2,DMSO,HT1080,MS384006
31051KS030,1.25,2,DMSO,HT1080,MS384006
31051KS031,1.25,4,DMSO,HT1080,MS384006
31051KS032,1.25,4,DMSO,HT1080,MS384006
31051KS033,0,0.5,ATOC,HT1080,MS384006
31051KS034,0,0.5,ATOC,HT1080,MS384006
31051KS035,0,1,ATOC,HT1080,MS384006
31051KS036,0,1,ATOC,HT1080,MS384006
31051KS037,0,2,ATOC,HT1080,MS384006
31051KS038,0,2,ATOC,HT1080,MS384006
31051KS039,0,4,ATOC,HT1080,MS384006
31051KS040,0,4,ATOC,HT1080,MS384006
31051KS041,1.25,0.5,ATOC,HT1080,MS384006
31051KS042,1.25,0.5,ATOC,HT1080,MS384006
31051KS043,1.25,1,ATOC,HT1080,MS384006
31051KS044,1.25,1,ATOC,HT1080,MS384006
31051KS045,1.25,2,ATOC,HT1080,MS384006
31051KS046,1.25,2,ATOC,HT1080,MS384006
31051KS047,1.25,4,ATOC,HT1080,MS384006
31051KS048,1.25,4,ATOC,HT1080,MS384006
31051KS049,2.5,0.5,ATOC,HT1080,MS384006
31051KS050,2.5,0.5,ATOC,HT1080,MS384006
31051KS051,2.5,1,ATOC,HT1080,MS384006
31051KS052,2.5,1,ATOC,HT1080,MS384006
31051KS053,2.5,2,ATOC,HT1080,MS384006
31051KS054,2.5,2,ATOC,HT1080,MS384006
31051KS055,2.5,4,ATOC,HT1080,MS384006
31051KS056,2.5,4,ATOC,HT1080,MS384006
31051KS057,0,4,DMSO,media,MS384006
02061KS001,0,0.5,DMSO,HT1080,MS384007
02061KS002,0,0.5,DMSO,HT1080,MS384007
02061KS003,0,1,DMSO,HT1080,MS384007
02061KS004,0,1,DMSO,HT1080,MS384007
02061KS005,0,2,DMSO,HT1080,MS384007
02061KS006,0,2,DMSO,HT1080,MS384007
02061KS007,0,4,DMSO,HT1080,MS384007
02061KS008,0,4,DMSO,HT1080,MS384007
02061KS009,0.31,0.5,DMSO,HT1080,MS384007
02061KS010,0.31,0.5,DMSO,HT1080,MS384007
02061KS011,0.31,1,DMSO,HT1080,MS384007
02061KS012,0.31,1,DMSO,HT1080,MS384007
02061KS013,0.31,2,DMSO,HT1080,MS384007
02061KS014,0.31,2,DMSO,HT1080,MS384007
02061KS015,0.31,4,DMSO,HT1080,MS384007
02061KS016,0.31,4,DMSO,HT1080,MS384007
02061KS017,0.63,0.5,DMSO,HT1080,MS384007
02061KS018,0.63,0.5,DMSO,HT1080,MS384007
02061KS019,0.63,1,DMSO,HT1080,MS384007
02061KS020,0.63,1,DMSO,HT1080,MS384007
02061KS021,0.63,2,DMSO,HT1080,MS384007
02061KS022,0.63,2,DMSO,HT1080,MS384007
02061KS023,0.63,4,DMSO,HT1080,MS384007
02061KS024,0.63,4,DMSO,HT1080,MS384007
02061KS025,1.25,0.5,DMSO,HT1080,MS384007
02061KS026,1.25,0.5,DMSO,HT1080,MS384007
02061KS027,1.25,1,DMSO,HT1080,MS384007
02061KS028,1.25,1,DMSO,HT1080,MS384007
02061KS029,1.25,2,DMSO,HT1080,MS384007
02061KS030,1.25,2,DMSO,HT1080,MS384007
02061KS031,1.25,4,DMSO,HT1080,MS384007
02061KS032,1.25,4,DMSO,HT1080,MS384007
02061KS033,0,0.5,ATOC,HT1080,MS384007,
02061KS034,0,0.5,ATOC,HT1080,MS384007,
02061KS035,0,1,ATOC,HT1080,MS384007,
02061KS036,0,1,ATOC,HT1080,MS384007,
02061KS037,0,2,ATOC,HT1080,MS384007,
02061KS038,0,2,ATOC,HT1080,MS384007,
02061KS039,0,4,ATOC,HT1080,MS384007,
02061KS040,0,4,ATOC,HT1080,MS384007,
02061KS041,1.25,0.5,ATOC,HT1080,MS384007,b
02061KS042,1.25,0.5,ATOC,HT1080,MS384007,
02061KS043,1.25,1,ATOC,HT1080,MS384007,
02061KS044,1.25,1,ATOC,HT1080,MS384007,
02061KS045,1.25,2,ATOC,HT1080,MS384007,
02061KS046,1.25,2,ATOC,HT1080,MS384007,
02061KS047,1.25,4,ATOC,HT1080,MS384007,
02061KS048,1.25,4,ATOC,HT1080,MS384007,
02061KS049,2.5,0.5,ATOC,HT1080,MS384007
02061KS050,2.5,0.5,ATOC,HT1080,MS384007
02061KS051,2.5,1,ATOC,HT1080,MS384007
02061KS052,2.5,1,ATOC,HT1080,MS384007
02061KS053,2.5,2,ATOC,HT1080,MS384007
02061KS054,2.5,2,ATOC,HT1080,MS384007
02061KS055,2.5,4,ATOC,HT1080,MS384007
02061KS056,2.5,4,ATOC,HT1080,MS384007
02061KS057,0,4,DMSO,media,MS384007
03061KS001,0,0.5,DMSO,HT1080,MS384008
03061KS002,0,0.5,DMSO,HT1080,MS384008
03061KS003,0,1,DMSO,HT1080,MS384008
03061KS004,0,1,DMSO,HT1080,MS384008
03061KS005,0,2,DMSO,HT1080,MS384008
03061KS006,0,2,DMSO,HT1080,MS384008
03061KS007,0,4,DMSO,HT1080,MS384008
03061KS008,0,4,DMSO,HT1080,MS384008
03061KS009,0.31,0.5,DMSO,HT1080,MS384008
03061KS010,0.31,0.5,DMSO,HT1080,MS384008
03061KS011,0.31,1,DMSO,HT1080,MS384008
03061KS012,0.31,1,DMSO,HT1080,MS384008
03061KS013,0.31,2,DMSO,HT1080,MS384008
03061KS014,0.31,2,DMSO,HT1080,MS384008
03061KS015,0.31,4,DMSO,HT1080,MS384008
03061KS016,0.31,4,DMSO,HT1080,MS384008
03061KS017,0.63,0.5,DMSO,HT1080,MS384008
03061KS018,0.63,0.5,DMSO,HT1080,MS384008
03061KS019,0.63,1,DMSO,HT1080,MS384008
03061KS020,0.63,1,DMSO,HT1080,MS384008
03061KS021,0.63,2,DMSO,HT1080,MS384008
03061KS022,0.63,2,DMSO,HT1080,MS384008
03061KS023,0.63,4,DMSO,HT1080,MS384008
03061KS024,0.63,4,DMSO,HT1080,MS384008
03061KS025,1.25,0.5,DMSO,HT1080,MS384008
03061KS026,1.25,0.5,DMSO,HT1080,MS384008
03061KS027,1.25,1,DMSO,HT1080,MS384008
03061KS028,1.25,1,DMSO,HT1080,MS384008
03061KS029,1.25,2,DMSO,HT1080,MS384008
03061KS030,1.25,2,DMSO,HT1080,MS384008
03061KS031,1.25,4,DMSO,HT1080,MS384008
03061KS032,1.25,4,DMSO,HT1080,MS384008
03061KS033,0,0.5,ATOC,HT1080,MS384008
03061KS034,0,0.5,ATOC,HT1080,MS384008
03061KS035,0,1,ATOC,HT1080,MS384008
03061KS036,0,1,ATOC,HT1080,MS384008
03061KS037,0,2,ATOC,HT1080,MS384008
03061KS038,0,2,ATOC,HT1080,MS384008
03061KS039,0,4,ATOC,HT1080,MS384008
03061KS040,0,4,ATOC,HT1080,MS384008,
03061KS041,1.25,0.5,ATOC,HT1080,MS384008,b
03061KS042,1.25,0.5,ATOC,HT1080,MS384008,
03061KS043,1.25,1,ATOC,HT1080,MS384008,
03061KS044,1.25,1,ATOC,HT1080,MS384008,
03061KS045,1.25,2,ATOC,HT1080,MS384008,b
03061KS046,1.25,2,ATOC,HT1080,MS384008,
03061KS047,1.25,4,ATOC,HT1080,MS384008,b
03061KS048,1.25,4,ATOC,HT1080,MS384008,
03061KS049,2.5,0.5,ATOC,HT1080,MS384008,
03061KS050,2.5,0.5,ATOC,HT1080,MS384008,
03061KS051,2.5,1,ATOC,HT1080,MS384008,
03061KS052,2.5,1,ATOC,HT1080,MS384008,
03061KS053,2.5,2,ATOC,HT1080,MS384008,
03061KS054,2.5,2,ATOC,HT1080,MS384008,
03061KS055,2.5,4,ATOC,HT1080,MS384008,
03061KS056,2.5,4,ATOC,HT1080,MS384008
03061KS057,0,4,DMSO,media,MS384008
